sentenca,categoria
"O Coco Bambu em Manaux, fica no Shopping Ponta Negra, lugar bem bacana, conta com segundo piso, espaço muito bonito, comida diferenciada, e para as mulheres que sentem aquele frio de sempre, levem casaquinho, pois os ar condicionados são muitos bons.","geral,ambiente,comida"
Restaurante muito bom!,geral
É a melhor churrascaria de Manaus,geral
O melhor restaurante de Manaus.,geral
"Ótima, um bom restaurante",geral
Melhor churrascaria.,geral
Pizzaria tradicional de Manaus.,geral
Ótimo restaurante.,geral
Excelente restaurante.,geral
"Um bar tradicional amazonense, recanto  de pessoas que gostam de uma cervejinha bem gelada e música ao vivo!","geral,bebida,ambiente"
Excelente opção!,geral
Restaurante muito bom para levar a família.,geral
Ótimo restaurante.. é possível fazer fotos estilo cangaceiro rsrsrs,geral
"Não é barzinho, é realmente um...restaurante mais sofisticado, porém a culinária me surpreendeu.Mais","geral,comida"
Ótimo restaurante,geral
"Restaurante agradável, serviço bom atencioso .","geral,serviço"
Tem área externa.,ambiente
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.",serviço
Boa opção de menu executivo...Mais,comida
"Restaurante novo, muito agradável e atendimento excelente.","geral,serviço"
Melhor restaurante de Manaus.,geral
"Sem dúvida é o melhor restaurante da cidade quando o assunto é churrasco, além da carne ser deliciosa, os acompanhantos são tão bons quanto.","geral,comida"
excelente atendimento comemoramos o aniversário da nossa irmã Maria muito bom atendimento agradeço a churrascaria bufalo e recomendo ela,"geral,serviço"
Tudo de bom lugar ótimo pizzaria gostosa,"geral,comida"
"Lugar muito agradável, cafezinho com muitas opções, alem do ótimo visual do lugar.","geral,bebida,ambiente"
Bar tradicional de Manaus.,geral
Ambiente Retrô com uma biblioteca interessante!!,ambiente
"Excelente opção em Manaus, comida típica e ambientes de excelente qualidade.","geral,comida,ambiente"
"Excelente restaurante, conheço a casa de Manaus,  não deve nada na qualidade do produtos, ótimos pratos e um excelente atendimento.","geral,comida,serviço"
"O atendimento é muito bom, fica bem localizado em uma rua principal, o ruim é a questão do estacionamento, mas nada que atrapalhe.","serviço,localização"
melhor opção  de gastronomia japonesa na cidade de manaus não tem igual toda minha familia adorou magnifico!!!,"geral,comida"
"amamos a comida deste restaurante, muito gostoso mesmo, acho que um doselhores de Manaus.","geral,comida"
"Boa pizzaria, amplo espaço, com direito a área para crianças, com sabores entre médio e bom.","geral,ambiente,comida"
A cada nova opção escolhida me surpreendia mais.,comida
Pizzaria tradicional na cidade com ótimo atendimento.Tem estacionamento.,"geral,serviço,localização"
"Boa comida e é uma ótima opção para quem gosta de uma boa carne, melhor picanha da cidade!",comida
"Alimentação de primeira qualidade, Natal chefe de cozinha top","comida,serviço"
Esse restaurante é e sempre foi uma ótima opção para se comer uma ótima carne de sol.,comida
"Qualidade, personalidade, cardápio completo e uma vista pro rio negro muito linda","comida,ambiente"
Mantém um boa tradição do churrasco,comida
"Um restaurante excelente, comida muito boa e atendimento de primeira... a gentileza e delicadeza do Garçom Senna ao saber que era meu aniversário trouxe uma cortesia para cantar parabéns... muito obrigada?","geral,comida,serviço"
@lilasigridmacena  olhaaaaa manaaa de repente essa seria a melhor opção!,geral
Excelente opção em Manaus.,geral
Ótimo restaurante.,geral
"Para quem já foi em uma boa churrascaria, a Búfalo não é das melhores.",geral
Rodízio com sushi mto competido....sushi acaba nas primeiras mesas....e quem senta no fundo tem dificuldade pra comer o sushi,serviço
Opção vegetariana de ótima qualidade.,comida
A melhor pizzaria,geral
Excelente opção de café do fim de tarde!,comida
"Local conta com area externa (mais com segurança,pois é todo gradeado) e tambem area interna refrigerada, otimo atendimento e o proprio Adolpho passa nas mesas p saber se estamos bem servidos.","ambiente,serviço"
Gostei da pizza e massas atendimento do garçom gabriel muito legal a pizzaria família gostou aprovado,"comida,serviço"
Uma das melhores pizzaria de Manaus,geral
"Boa opção para café da manhã, bem localizado, preço bom, comida boa com diversas opções.","comida,localização,preço"
"Para os Amantes da Carne, é uma excelente opção!",comida
Restaurante cheio mas não deixa a desejar no atendimento e na qualidade dos pratos!,"ambiente,serviço,comida"
Atendimento excelente e ambiente aconchegante.. com uma bela vista.,"serviço,ambiente"
É uma ótima opção para quem realmente sabe apreciar a culinária paraense.,comida
Um ótimo restaurante para levar a família.,geral
Melhor pizza da zona sul chora pra vender fiado,comida
"Um local super descontraído, bem confortável  e aconchegante, alimentação saborosa.","geral,comida"
Rodízio de peixe é uma boa opção.,comida
José Gregório  excelente !!!,serviço
"Estacionamento próprio, área climatizada e área externa/varanda como opção.","localização,ambiente"
Muito boa opção de carnes em Manaus.,comida
"Um bom restaurante,sem dúvidas!Atendimento perfeito,além do tradicional Bacalhau,oferece também,outras opções de carnes.Muito bom!","geral,serviço,comida"
"Ótimo atendimento, adorei os vários ambientes para comer, área externa e climatizada.","serviço,ambiente"
"Um restaurante excelente, com uma saborosa culinária.","geral,comida"
"Uma das Churrascaria mais tradicional de Manaus, a búfalo oferece um ambiente requintado e super agradável, com uma culinária sem igual, pratos ótimos e cardápio super variados vale pena conferir.","geral,ambiente,comida"
Para mim é sempre uma boa opção quando quero comida japonesa.,comida
"O restaurante então maravilhoso, comidas tipicas .. amo","geral,comida"
"Restaurante super acolhedor, ótimo ambiente, comidas sensacionais.. Só agradecer ao Sr. Jorge e o Senna que nos atenderam super bem, prestativos, atenciosos, e muito profissionais, principalmente com a minha mãe, que era aniversariante da noite.. deixo aqui meu muito obrigada..","geral,ambiente,comida,serviço"
Com pratos variados de frutos do mar e tem uma área kids muito boa para deixar as crianças.,"comida,ambiente"
"Há uma opção menos cara se entrar pela Gaúcho's Gourmet, no self-service.",preço
"Cara foi muito incrível, melhor restaurante de Manaus #coco bambu, melhores pratos melhores sobremesas, juntamente com o garçom muito top é incrível, #LUCAS??","geral,comida,serviço"
"Restaurante muito agradável, a comida é muito bem apresentado e muitas equipe uma volta com diferentes tipos de carnes para experimentar.","geral,comida"
"Excelente local para comer peixes variados com custo beneficio acessível com muitas opções regionais destaco aqui costela de tambaqui ao qual achei excelente já fui algumas vezes e sempre peço mesmo prato pela sua qualidade, outros peixes regionais também se destacam como boa opção aproveito...Mais","geral,comida,preço"
"Restaurante bom, ótimo custo-benefício churrasco no peso e uma pasta de pimenta forte que é um grande diferencial.","geral,preço,comida"
"Apesar da falta de estacionamento próprio o Adolpho possui um ambiente muito bom, na minha opinião, a área externa é a opção ideal, principalmente para quem não tem pressa para sair do lugar.","localização,ambiente"
"Restaurante bem conceituado em Manaus, mas de alguns anos pra cá a qualidade e quantidade de comida servida vem diminuindo e os preços aumentando!","geral,comida,preço"
Melhor restaurante e churrascaria que já visitei.,geral
Excelente restaurante,geral
"O bar é uma ótima opção pra quem quer fazer o esquenta, encerrar a noite, ou mesmo passar horas na mesa.",bebida
Área total climatizada.,ambiente
Muito bom pra lazer,geral
Restaurante rústico e o prato que degustamos foi simplesmente sensacional.,"geral,comida"
Sem contar que o preço é muito mais em conta do que de outras peixarias mais renomadas encontradas ao entorno da zona sul.,preço
A unica coisa que não gostei é que o banheiro masculino fica no piso superior.,ambiente
"Ressalto a dedicação dos profissionais, em especial, porque minha mãe deixou cair seu aparelho auditivo lá e mesmo sendo algo minúsculo e de difícil identificação os profissionais da limpeza tiveram o cuidado e a delicadeza de guardar mesmo sem saber o que era.",serviço
Ótimo restaurante!,geral
Um excelente restaurante de alto nível um ótimo serviço e ótima comida considero cinco estrelas e talvez um dos melhores de Manaus para peixes,"geral,serviço,comida"
"Restaurante top, atendimento realizado por Rafael!","geral,serviço"
"Uma otima opção local, pra quem gosta de massa","geral,comida"
Ambiente agradável e amplo com uma bela vista do rio negro,ambiente
"Considerando o ambiente, é a melhor churrascaria de Manaus: o lugar é requintado, a decoração com a adega no salão principal é muito agradável.","geral,ambiente"
A melhor pizzaria de Manaus!!,geral
Restaurante aconchegante.,geral
Melhor churrascaria de Manaus!,geral
Primeira churrascaria que fui em que achei a salada melhor que a carne!,comida
Merece a oportunidade deste excelente restaurante que com certeza elevará o seu nível tendo este profissional como colaborador!!!,geral
A área infantil ?,outros
Restaurante tradicional.,geral
Ótimo restaurante .. peixe incrível e o Baião .. de respeito,"geral,comida"
Restaurante muito agradável com a melhor gastronomia da região.,"geral,comida"
"A melhor e mais completa churrascaria de Manaus, moderna, que trabalha com todos os cortes, carnes de qualidades e de origem comprovada!!!","geral,comida"
Sempre uma ótima opção...mas o pessoal é demorado para atender e fazer a entrega.,"geral,serviço"
Boa opção de bebidas e comidas típicas.,"bebida,comida"
Bom restaurante.,geral
"Restaurante com bacalhau normal, não sei o que viram demais nele.",comida
Excelente restaurante na Cachoeirinha.,geral
"Para beber, suco de cupuaçu ou de graviola... Pronto, agora já posso voltar para casa satisfeitíssimo e com vontade de voltar e me deliciar com os sabores e aromas da capital amazonense.",bebida
Com certeza a melhor opção gastronômica de Manaus.,comida
Excelente opção de restaurante.,geral
Melhor churrascaria de Manaus,geral
"Este restaurante, relativamente novo na cidade é uma ótima opção para comer um bom peixe e mais elaborado.",comida
"Na realidade, trata-se de um bar flutuante, onde você pode comer, beber e tomar banho no rio com segurança, além de praticar stand-up; alugam-se pranchas no local.","geral,ambiente"
"Ambiente agradável espetacular, excelente atendimento, comida maravilhosa, tradicional restaurante com comidas típicas.","geral,ambiente,serviço,comida"
Uma ótima opção para conhecer um pouco de Manaus...Restaurante Flutuante no Rio Negro com estrutura de lazer e ambiente agradável.,"geral,ambiente"
Restaurante bom e comida de excelente qualidade.,"geral,comida"
O La Parrilla sem dúvida hoje é a melhor opção para que está próximo ao aeroporto ou em regiões próximas no raio de 10 KM máximo.,localização
Esta é uma ótima opção para um descanso em um final de semana.,geral
"Apesar de ser um restaurante pequeno e que não possui estacionamento privado, até então é fácil estacionar o carro nas proximidades do restaurante.","ambiente,localização"
"Bar tradicional de samba raiz em Manaus, bem popular, simples com público variado e cerveja gelada.","geral,ambiente,bebida"
O melhor restaurante de Manaus.,geral
Ótima opção de gastronomia regional norte/nordestino.,comida
"Restaurante amplo, bom atendimento e as carnes são ótimas.","ambiente,serviço,comida"
Sem dúvidas a melhor churrascaria de Manaus ?,geral
Serve formiga saúva ...Mais uma ótima opção em Manaus!,"geral,comida"
"Não é um restaurante barato, mas definitivamente uma experiência gastronómica!","comida,preço"
Excelente restaurante.,geral
Procure o que há de melhor em botecos pra comer um petisco e conversar sobre a vida em geral e você encontrará neste local a melhor opção!,"geral,comida"
"Como todo bom restaurante português, o rei do cardápio é o bacalhau, apesar da cidade estar repletas de peixarias com pratos típicos regionais e peixes de água doce, esse na verdade é um restaurante que estando em Manaus, vale a pena incluir nas suas prioridades.","geral,comida"
"Excelente restaurante, garçom Pedro nos atendeu impecavelmente, a comida estava muito gostosa!","geral,serviço,comida"
Uma excelente opção para se reunir com familiares ou amigos.,geral
Fui ao restaurante e saboreei uma bela picanha.,comida
Uma ótima opção de rodízio de carne!,comida
Ótimo restaurante,geral
Excelente opção para almoço e jantar.,geral
"O restaurante possui boa localização, dentro de um dos melhores shoppings da região.",localização
"Restaurante maravilhoso, camarão,  carne de sol, sobremesas deliciosas e música ?ao vivo.","geral,comida,ambiente"
Restaurante excelente!!!,geral
"As pessoas nos atenderam bem e fiz uma reserva ao lado da área kids foi bacana tinha pula pula, escorregador, cavalinho bem bacana pra se divertir num local diferente e comer diversidades de comida.","serviço,ambiente,comida"
Ótimo restaurante,geral
"Bom café, falta uma melhor apresentação dos tipos de grãos,  não servem água com gás, ótima opção de lanches, porém, com valor um pouco salgado..","bebida,serviço,comida"
Boa opção pra comer peixe.,comida
Muito bom o restaurante!,geral
"Restaurante sofisticado, é uma ótima opção para quem quer comer comida típica.","geral,comida"
"Excelente opção no café, almoço ou brunch!!!",geral
"Restaurante tranquilo, bom atendimento, atendente Mateus foi muito atencioso.","geral,serviço"
"Restaurante muito bom, super recomendo atendimento diferenciado e os pratos deliciosos","geral,serviço,comida"
"Vou ao Gaúcho's, quase toda vez para comemorar algo, um restaurante com buffet agradável, carnes deliciosas, sobremesas boas, limpo, bebidas agradáveis, garçons simpáticos, em geral bom restaurante para ir.","geral,comida,ambiente,serviço,bebida"
Hoje eh o resquício do que já foi a pastelaria muito boa de Manaus.,geral
"Maravilhoso restaurante para desfrutar com a família, ou amigos pratos variados do cardápio amazonense.","geral,comida"
"Melhor restaurante em Manaus, sem duvida!!",geral
"Ótimo restaurante, ambiente calmo e moderno, mesas bem distruídas, a pesar do espaço não ser grande, com bom atendimento.","geral,ambiente,serviço"
"Restaurante muito bonito, música ambiente de qualidade, comida maravilhosa, o atendimento foi ótimo em especial pelo sr. Pedro Jacks que nos deu a sugestão do prato que fez a felicidade da família!","ambiente,comida,serviço"
"Excelente restaurante self service, com um cardápio variado e de excelente qualidade.","geral,comida"
"O café regional Priscila é uma excelente opção para quem quer uma refeição diversificada, pois lá você muitas comidas típicas: tapiocas de vários sabores, bolos diversos - vale a pena conferir o bolo de aimpim com cobertura de calda de cupuaçu.",comida
É uma boa opção para almoço com amigos quando não se quer gastar tanto indo em um rodízio.,"geral,preço"
"Um ótimo restaurante, ar condicionado, atendimento top.","geral,ambiente,serviço"
"É bem divertido, mas poderia ter mais mesas na área externa","geral,ambiente"
"Atendimento excelente, e para quem tem crianças, tem uma área kids muito boa,  com brinquedos novos e muitas opções pros pequenos.","serviço,ambiente"
"Quem procura diversidade e está disposto a pagar um pouco mais por isso, pode encontrar no Molen uma ótima opção.","geral,preço"
O bar mais tradicional de Manaus.,geral
"Restaurante aconchegante, música ao vivo, excelente atendimento, e qualquer prato e feito com muito capricho e muito sabor.","geral,ambiente,serviço,comida"
A localização é boa também e numa rua tranquila de estacionar .,localização
Mais uma ótima opção em Manaus!,geral
Restaurante excelente.,geral
O Mercato 101 tem área interna e externa.,ambiente
"É um ótimo restaurante onde se come muito bem ,com um preço  compatível  com o nível do restaurante.","geral,comida,preço"
"Restaurante bom, vale a pena para um jantar tranquilo.",geral
O melhor restaurante de peixe gourmet de Manaus!,comida
Melhor restaurante de Manaus,geral
"Ótima opção, variedade de pizzas","geral,comida"
Uma boa opção,geral
"Ótimo restaurante anexo ao Manauara Shopping, com pratos típicos do Amazonas.","geral,comida"
"Ótimo bar local para um lanche rápido, com cervejas locais e conversar com pessoas locais agradáveis!","comida,bebida,ambiente"
É um bar obrigatório para qualquer dia da semana.,geral
"Estava em outro local, fui ao Banzeiro so pra conhecer o tao famoso restaurante, entao nao pedi prato principal.",outros
Melhor restaurante,geral
"Na cozinha a agitação tem nome: Felipe Schaedler, o jovem chef que fez fama ao utilizar elementos inusitados na sua cozinha regional e recentemente fincou um pé na capital paulista, com uma...filial.",serviço
"O Alentejo é sem dúvida um excelente restaurante português que nada fica a dever a qualquer outro restaurante, em qualquer lugar do mundo.",geral
"Vibe massa, melhor bar do Centro de Manaus.",geral
Melhor churrascaria de Manaus,geral
"O chopp local é muito bom..O restaurante fica no primeiro piso, com janelas enormes que têm vista para o Teatro Amazonas.","bebida,ambiente"
"Localizado em um centro gastronômico, com estacionamento comum privativo gratuito, esse local oferece chopp e petiscos a bons preços e ótima qualidade, servidos por meio de um bom atendimento, em um ambiente bem arejado, área comum, rústico e coberto.","localização,comida,bebida,preço,serviço,ambiente"
"Pizzaria ampla, climatizada, limpa e pizzas de ótima qualidade (massa fina, cobertura na medida certa e borda salpicada de gergelim).","ambiente,comida"
Restaurante muito bom.,geral
Melhor restaurante de culinária local.,geral
"Todos são muito atenciosos, hoje em dia pra mim o Matsuri é um dos melhores japonês de Manaus.","geral,serviço"
"Confesso que esperava mais do restaurante, isso pode ter impactado na minha avaliação, mas é uma belíssima opção de jantar a dois, com a vista da praça e do teatro e pratos bem feitos, esteticamente muito bem apresentados e saborosos.","geral,ambiente,comida"
Ótimo restaurante.,geral
"O chopp local é muito bom..O restaurante fica no primeiro piso, com janelas enormes que têm vista para o Teatro Amazonas.","bebida,ambiente"
Churrascaria mais top de Manaus!,geral
"Comida muito boa, área externa agradável, o pedido não demorou muito pra chegar.","comida,ambiente,serviço"
"Ambiente agradável espetacular, excelente atendimento, comida maravilhosa, tradicional restaurante com comidas típicas.","geral,ambiente,serviço,comida"
"É um bar comum mas com uma localização invejável, a partir das 17: horas coloca suas mesas na rua, literalmente.","geral,localização"
Ótimo restaurante,geral
Acho que é o primeiro restaurante italiano em Manaus que me satisfez no sabor.,geral
"Restaurante atrativo, acolhedor, serviço top!","geral,serviço"
Atendimento e alimentação excelente,"serviço,comida"
"Como todo bom restaurante português, o rei do cardápio é o bacalhau, apesar da cidade estar repletas de peixarias com pratos típicos regionais e peixes de água doce, esse na verdade é um restaurante que estando em Manaus, vale a pena incluir nas suas prioridades.","geral,comida"
"Excelente localização, com música boa, excelentes pratos, paisagem deslumbrante, ótima opção pra levar a família e até mesmo só e fazer novas amizades.","geral,localização,ambiente,comida"
E temos muito prazer em dizer que o La Parrilla é além de um excelente restaurante um lugar para estar com a família e com amigos .,geral
"Excelente restaurante, provavelmente o melhor de Manaus.",geral
"No calçada alta vc chega 11h e eles ainda vão cozinhar tudo, ou seja, tempo de espera é no mínimo 40 minutos, isso para o prato do dia, imagina os outros pratos mais trabalhados....",serviço
"A nova loja do Adrianópolis no início da rua Paraíba é ótima, espaçosa e possui bom estacionamento.","ambiente,localização"
O melhor bar com música ao vivo é o melhor samba.,ambiente
Uma ótima opção!,geral
"Ótimo restaurante, ótimos preços, comida saborosa... Situado dentro do mercado central, voltaria novamente e recomendo a todos a visita!!","geral,preço,comida,localização"
Excelente restaurante.,geral
"Com certeza um dos melhores estabelecimentos da cidade, aqui você consegue comer bem e ainda ser muito bem atendido.","geral,comida,serviço"
Restaurante excelente.,geral
"Tudo muito maravilhoso, área kids muito boa, as pizzas demoraram um pouco, mas o Eduardo conseguiu nós trazer nossas preferências, fora isso tudo foi muito bom.","geral,ambiente,serviço"
"(Tradução do Google) A opção vegana não foi tão boa, mas adorei o ketchup de curry e chipotle.",comida
Excelente restaurante,geral
Essa é uma boa opção de restaurante regional de rede.,geral
"Restaurante maravilhoso, do atendimento dos funcionários todos solícitos e educados, ambiente lindíssimo e confortável..comida gostosa demais.. Lado ruim do estabelecimento são os preços, um verdadeiro assalto a mãos armadas, uma tigela de arroz pequena, uma porção de brócolis refogado e três pedaços pequenos de bacalhau por 370 reais... Portanto quem não quer gastar muito, não índico!","geral,serviço,ambiente,comida"
Muito top melhor churrascaria de Manaus!,geral
"A costela de Tambaqui da unidade do Shopping Manauará, da de dez em outro restaurante famoso de Manaus, muito saboroso e com uma guarnição quea até da para dividir com mais uma pessoa (que coma pouco).",comida
Um ótimo restaurante em Manaus tradicional,geral
Excelente opção de entretenimento com os amigos.,geral
Restaurante obrigatório conhecer em Manaus,geral
"(Tradução do Google) Big hambúrgueres com um ótimo sabor, um bar adicional, você tem que chegar cedo porque geralmente fica cheio  (Original) Hamburguesas grandes con un gran sabor, un bar adicional, hay que llegar temprano por qué suele llenarse","comida,ambiente"
"Fui comemorar mais uma data super especial neste incrível restaurante, como sempre, atendimento impecável e comida saborosa e o melhor com preço justo...","geral,serviço,comida,preço"
Na minha opinião o melhor restaurante contemporâneo de Manaus.,geral
Restaurante típico nordestino com pratos variados da cozinha nordestina.,"geral,comida"
Excelente restaurante.,geral
"Estacionar é um pouco trabalhoso, visto que fica em uma rua movimentada.",localização
"Tradicional restaurante de Manaus,  excelente variedade de comida,  pratos sofisticados, e uma culinária bem diversificada, em um ambiente que se adequou a modernidade.","geral,comida,ambiente"
Boa visão colocando área kids...,ambiente
Opção familiar excelente.,geral
Muito bom restaurante.,geral
Muito bom ambientes agradável e cardápio maravilhoso!??,"geral,ambiente,comida"
Restaurante otimo para a familia..Varios oratos de comida regional e assados..,"geral,comida"
Excelente opção de cozinha regional.,geral
Melhor restaurante de Manaus.,geral
"Não é o melhor restaurante de Manaus, mas é muito gostoso....Mais","geral,comida"
Muito interessante a decoração do ambiente Se não me engano é uma rede e tem umas 3 cachaçarias A que fui fica no shopping Manauara  Comida típicas gourmets ótimas  Encontrei no menu até o famoso joelho de porco alemão  (muito bom tb) Como o lugar...Mais,"geral,ambiente,comida"
"Restaurante sempre cheio, com atendimento cordial, muito acima da média praticada na capital amazonense.","geral,ambiente,comida"
"Churrascaria alto nivel.maravilhosa,comida de primeira atendimento espetacular,parabéns ao garçons,inclusive o alexandre","geral,comida,serviço"
"Massa esse restaurante, sempre indico para amigos.",geral
"Esse é o restaurante mais completo no que diz respeito à comida típica da região, pois é possível encontrar todas as opções de comida regional, além de uma excelente qualidade nos pratos.",comida
"Excelente opção de caldos e sanduiches, em Manaus.",comida
Restaurante perfeito comida muito bem preparada é bem saborosa.,"geral,comida"
"Apesar de estar localizado em um Shopping, o Coco Bambu Manaus é um bom restaurante, porém verificamos algumas falhas.","geral,localização"
"Porém, se isso não lhe for incômodo e a parte da comida que convém, pode ir que é uma boa opção.","geral,comida"
"Excelente opção gastronômica e para quem gosta de cervejas artesanais, tem algumas com o rótulo do próprio Dedé, neste dia destaco o atendimento da funcionária Eliana que nossa atendeu com muita eficiência e simpatia, inclusive quando percebeu que o queijo coalho estava queimado embaixo trocou...Mais","comida,bebida,serviço"
"Fui toda animada por ser um restaurante famoso, mas me decepcionei com a comida.","geral,comida"
Excelente restaurante.,geral
"É um bom bar, cerveja gelada, e música boa, samba, claro!","geral,bebida,ambiente"
"Um restaurante flutuante com uma comida regional diferenciada, muito boa.",comida
É a melhor churrascaria de Manaus!!!,geral
Não conheci restaurante tão aconchegante em Manaus.,geral
Uma boa opção pra quem quer ficar literalmente de bubuia naquele calor maravilhoso de Manaus e a comida muito boa tmb,"geral,comida"
Restaurante muito sostificado .Atendimento excelente.Recomendo este restaurante à todos.,"geral,serviço"
Uma ótima opção pra sair da rotina com os amigos.,geral
Excelente opção para conhecer a culinária regional.,"geral,comida"
"Ótimo restaurante, confortável e atendimento excelente","geral,serviço"
"Ambiente agradável, excelente atendimento, banheiros limpos e climatizados, peca por não ter uma área própria de estacionamento, no entanto , oferece um excelente serviço para o público frequentador.","ambiente,serviço,localização"
Ok melhor restaurante do Brasil,geral
"Bem localizado e sempre cheio, sinal que é um bom restaurante, este recinto é uma boa pedida para apreciar a culinària local.","geral,localização,comida"
"Ótimo bar local para um lanche rápido, com cervejas locais e conversar com pessoas locais agradáveis!","comida,bebida,ambiente"
"lotado aos fins de semana, é um restaurante frequentado por toda a cidade.",ambiente
"O forte do calçada alta é o bolinho de bacalhau, que é gostoso, mas muito caro.","comida,preço"
Bar tradicional do centro da cidade.,geral
"Melhor bar de manaus,atendimento nota 10000","geral,serviço"
"Restaurante temático, atendimento diferenciado, comida nordestina maravilhosa, sucos deliciosos, música diversificada.","geral,serviço,comida,bebida,ambiente"
"Restaurante muito bom, com ambiente agradável, opção de brinquedoteca para crianças, atendimento rápido e comida muito gostosa.","geral,ambiente,serviço,comida"
"Um bom bar , lembra mts  a era boemia d manaus.",geral
"Restaurante excelente,ambiente muito confortável, excelente atendimento de todos os funcionários e a comida de muito bom gosto ,O camarão internacional e maravilhoso com certeza indico vcs vão adorar","geral,ambiente,serviço,comida"
"Restaurante premiado, de comida regional.","geral,comida"
"Restaurante típico da culinária portuguesa, mantém um cardápio permanente sem muitas alterações, passou por modificação estrutural que oferece mais conforto aos clientes.","geral,comida,ambiente"
Parabéns a família por este tradicional restaurante..que JEOVÁ DEUS  lhes abençoe grandemente.,geral
"Localização estratégica, pois fica dentro de um dos shoppings centers mais badalados de Manaus.",localização
Lugar exelente servicio bom só cardápio limitado por ele valor acho poderiam ser mas abertos a sugestões tipo eu sou mexicano queria uma comida similar tem todo os ingredientes matéria prima e não quiseram fazer falando tá fora do cardápio eu sei mas como falo não custava nada atender ao cliente olha pague 250 reais cobraram 5 reais por persona por  cover da música q na verdade nem e boa nem dá pra conversar ahh mas 14 ou 19 reais por área infantil acho também um abuso tem lugares que e de graça,"geral,serviço,preço,comida"
"Melhor restaurante português de Manaus, excelente atendimento, equipe maravilhosa!","geral,serviço"
"Restaurante tranquilo, super aconchegante, Bacalhau muito saboroso.","geral,ambiente,comida"
Melhor restaurante com a minha esposa linda!!,geral
"Ótimo restaurante, um dos melhores sushi de Manaus .","geral,comida"
restaurante muito bom .. serve pizzas e massas das.melhores qualidades.. preços tbm acessíveis que cabe no seu bolso .,"geral,comida,preço"
"Ambiente médio refrigerado com decorações agradáveis, painéis tema indígena, sem área externa.",ambiente
Tivemos uma ótima experiência gastronômica no melhor restaurante de Manaus.,"geral,comida"
Quem gosta de um happy Hour é uma boa opção.,geral
